object_class,pattern,struct_cluster,sem_cluster,cluster_size,minority_size,dominant_sem_cluster,dominant_struct_cluster,cluster_purity,example_rank,object_id,object_label,definition,mean_weight_cosine,radicals
characters,struct_together_sem_split,32,14,474,375,0,,0.2089,3,U+367A,㙺,"(same as 逵 馗) cross-road; a thorough-fare; a center from which nine roads lead out, to accumulate soil, to store up soil",0.57986661,"匚, 土, 貝"
characters,struct_together_sem_split,33,45,496,336,0,,0.3226,1,U+344C,㑌,(same as 尪) weak; a rickety person; emaciated,0.6114599533333333,"人, 匚, 玉"
characters,struct_together_sem_split,33,42,496,336,0,,0.3226,2,U+345D,㑝,"to make a fool of; idiotic, simple, stupid",0.6611698633333334,"人, 廾, 玉"
characters,struct_together_sem_split,33,15,496,336,0,,0.3226,3,U+34CC,㓌,bitterly cold,0.6280830133333334,"人, 冫, 玉"
characters,struct_together_sem_split,34,16,1411,988,0,,0.2998,1,U+345B,㑛,to shake one's head,0.543035775,"人, 木"
characters,struct_together_sem_split,34,45,1411,988,0,,0.2998,2,U+3463,㑣,"stupid; loutish, without ability; unable; lacking power",0.540755275,"人, 木"
characters,struct_together_sem_split,34,46,1411,988,0,,0.2998,3,U+3471,㑱,"a kind of monkey, fingering for an ancient string instrument",0.6254202133333333,"人, 木, 矛"
characters,struct_together_sem_split,35,20,249,162,27,,0.3494,1,U+3548,㕈,"(interchangeable 庡) to linger; to walk to and from, to conceal; to cover up; to secrete; to hide; to cover over",0.592536685,"厂, 衣"
characters,struct_together_sem_split,35,32,249,162,27,,0.3494,2,U+36C4,㛄,used in girl's name,0.641676965,"女, 衣"
characters,struct_together_sem_split,35,45,249,162,27,,0.3494,3,U+3822,㠢,"rugged and uneven, to shrink; to recoil; to cringe",0.5146444233333333,"山, 衣, 鬼"
characters,struct_together_sem_split,36,28,794,555,0,,0.301,1,U+3464,㑤,"(same as 媌) good looking, a prostitute",0.5425384433333332,"人, 田, 艸"
characters,struct_together_sem_split,36,3,794,555,0,,0.301,2,U+3496,㒖,(same as 藕) the root-stock of the lotus; arrowroot,0.5770066966666666,"人, 禸, 艸"
characters,struct_together_sem_split,36,52,794,555,0,,0.301,3,U+3511,㔑,(same as U+34FC 㓼) an incised wound; cuts,0.5907494866666666,"刀, 艸, 辛"
characters,struct_together_sem_split,37,47,140,100,0,,0.2857,1,U+3513,㔓,to stammer,0.6183862666666666,"丿, 力, 十"
characters,struct_together_sem_split,37,18,140,100,0,,0.2857,2,U+351E,㔞,vigorous; with great strength,0.5564066449999999,"丿, 力, 匕, 十"
characters,struct_together_sem_split,37,52,140,100,0,,0.2857,3,U+35D7,㗗,"to separate; to part, to split; to crack, to rend; to rip open",0.618125092,"丿, 力, 十, 口, 白"
characters,struct_together_sem_split,38,54,255,195,0,,0.2353,1,U+35A2,㖢,(same as 飺) to reject food,0.498303435,"匕, 口, 广, 止"
characters,struct_together_sem_split,38,9,255,195,0,,0.2353,2,U+367B,㙻,"(non-classical form of 廛) living space for one family in ancient times, ground allotted to a retainer, a shop; a market place",0.5569298475,"儿, 土, 广, 里"
characters,struct_together_sem_split,38,34,255,195,0,,0.2353,3,U+3769,㝩,"spaciously rooms, emptiness",0.5865641066666667,"宀, 广, 隶"
characters,struct_together_sem_split,39,51,79,63,0,,0.2025,1,U+355A,㕚,"(ancient form of 爪) claws of birds or animals, feet, to scratch, to claw, to grasp",0.5784114899999999,"丶, 又"
characters,struct_together_sem_split,39,2,79,63,0,,0.2025,2,U+3579,㕹,a buckler; a shield,0.63079856,"丶, 又, 口"
characters,struct_together_sem_split,39,36,79,63,0,,0.2025,3,U+38FE,㣾,do not care; unmindful of,0.6037951933333333,"丶, 又, 心"
characters,struct_together_sem_split,40,15,322,255,0,,0.2081,1,U+394A,㥊,"angry, (same as 恲) generous; unselfish; liberal",0.4110640366666667,"心, 月, 肉"
characters,struct_together_sem_split,40,50,322,255,0,,0.2081,2,U+3B33,㬳,"light; bright, clear",0.362153725,"十, 肉"
characters,struct_together_sem_split,40,51,322,255,0,,0.2081,3,U+3B35,㬵,"the shinbone, or tibia, (same as U+4EA4 交) to intersect, the sun and the moon in the sky, (simplified form U+81A0 膠) glue; gum, resin; sap, anything sticky",0.38315355,"亠, 父, 肉"
characters,struct_together_sem_split,41,12,152,111,0,,0.2697,1,U+371A,㜚,a local government post in ancient times,0.5587164099999999,"一, 人, 女, 宀, 白"
characters,struct_together_sem_split,41,9,152,111,0,,0.2697,2,U+3749,㝉,"(same as 宁) space between the throne and the retiring room behind it, to store up; to save up, peaceful, used as a term of comparison",0.56052576,"一, 宀"
characters,struct_together_sem_split,41,47,152,111,0,,0.2697,3,U+374D,㝍,(simplified form of 寫) to write; to draw,0.656508565,"一, 宀"
characters,struct_together_sem_split,42,57,690,461,0,,0.3319,1,U+345E,㑞,"(same as 媵) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine",0.5725487366666666,"人, 廾, 火"
characters,struct_together_sem_split,42,36,690,461,0,,0.3319,2,U+3484,㒄,"brittle and friable, fear; dread; fright; scare",0.569190935,"人, 冫, 火, 犬"
characters,struct_together_sem_split,42,1,690,461,0,,0.3319,3,U+34F9,㓹,"(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury",0.6530838433333334,"刀, 厂, 火"
characters,struct_together_sem_split,43,49,248,188,0,,0.2419,1,U+34D7,㓗,(non-classical of 潔) clean; pure; clear,0.58187098,"一, 丨, 二, 冫, 刀, 糸"
characters,struct_together_sem_split,43,47,248,188,0,,0.2419,2,U+34DE,㓞,"to engrave, (interchangeable with U+5951 契) a written contract or agreement",0.58685595,"一, 丨, 二, 刀"
characters,struct_together_sem_split,43,52,248,188,0,,0.2419,3,U+34F6,㓶,"(same as 鍥) to carve; to engrave; to cut; to oppress, a sickle",0.674119568,"一, 丨, 二, 刀, 大"
characters,struct_together_sem_split,44,27,59,49,0,,0.1695,1,U+383E,㠾,"a dish-cloth; a mopper; a cleaning rag, headdress; a scarf; turban",0.7086434166666665,"卩, 夕, 巾"
characters,struct_together_sem_split,44,42,59,49,0,,0.1695,2,U+392A,㤪,"(same as 怨) to find fault with; to repine; to murmur against; to harbour resentment, hatred",0.6341235350000001,"一, 卩, 夕, 心"
characters,struct_together_sem_split,44,49,59,49,0,,0.1695,3,U+3C67,㱧,"stinking smell, expression of a dead person",0.6269638075,"卩, 夕, 宀, 歹"
characters,struct_together_sem_split,45,15,36,27,0,,0.25,1,U+399E,㦞,(same as 懤) grieved; pained; in deep grief; to lament deeply,0.6290760799999999,"一, 乙, 口, 士, 寸, 工, 心"
characters,struct_together_sem_split,45,19,36,27,0,,0.25,2,U+3E57,㹗,cattle and sheep have no children,0.4854796542857143,"一, 乙, 口, 士, 寸, 工, 牛"
characters,struct_together_sem_split,45,56,36,27,0,,0.25,3,U+3FD2,㿒,"illness; disease; ailment, disease of the internal organs, disease of the abdomen, palpitation of the heart",0.6172445857142856,"一, 乙, 口, 士, 寸, 工, 疒"
characters,struct_together_sem_split,46,20,860,653,0,,0.2407,1,U+3430,㐰,"(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token",0.619152515,"人, 口"
characters,struct_together_sem_split,46,4,860,653,0,,0.2407,2,U+3431,㐱,"(same as 鬒) bushy, black hair",0.714386405,"人, 彡"
characters,struct_together_sem_split,46,32,860,653,0,,0.2407,3,U+3432,㐲,name of an island,0.63007188,"人, 大"
characters,struct_together_sem_split,47,20,212,164,0,,0.2264,1,U+3480,㒀,do not fear to,0.6445573683333333,"亠, 人, 八, 冂, 十, 口"
characters,struct_together_sem_split,47,15,212,164,0,,0.2264,2,U+34CF,㓏,bitterly cold,0.6272087575,"八, 冂, 冫, 口"
characters,struct_together_sem_split,47,52,212,164,0,,0.2264,3,U+3512,㔒,"to cut; to cut out; to pick out; to scoop out, to cut short; to spare",0.529480495,"八, 冂, 刀, 口, 山, 隹"
characters,struct_together_sem_split,48,3,118,89,0,,0.2458,1,U+4554,䕔,"name of a variety of grass, couch grass family",0.537327344,"一, 亅, 彳, 艸, 金"
characters,struct_together_sem_split,48,26,118,89,0,,0.2458,2,U+492F,䤯,"(same as 鉶) container for thick soup, sacrificial utensil, thick soup of meat and vegetables, (interchangeable 硎) a whetstone; grindstone",0.49254195999999995,"一, 廾, 彡, 金"
characters,struct_together_sem_split,48,13,118,89,0,,0.2458,3,U+4940,䥀,to pull out; to stretch,0.47541893,"一, 屮, 虫, 金"
characters,struct_together_sem_split,49,12,313,224,0,,0.2843,1,U+3435,㐵,Confucianism; scholar,0.51139943,"二, 人"
characters,struct_together_sem_split,49,47,313,224,0,,0.2843,2,U+345A,㑚,"(non-classical form of 那) that, there",0.66614674,"二, 人, 刀, 邑"
characters,struct_together_sem_split,49,47,313,224,0,,0.2843,3,U+346A,㑪,"(non-classical form of 儕) a generation, a class; a series; a kind",0.646021258,"丨, 丿, 二, 人, 文"
characters,struct_together_sem_split,50,42,278,170,35,,0.3885,1,U+3437,㐷,"a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold",0.564056965,"人, 馬"
characters,struct_together_sem_split,50,28,278,170,35,,0.3885,2,U+349F,㒟,"(same as 褭) with a charming; slim carriage (of a woman), pretty",0.6391818699999999,"亠, 人, 馬"
characters,struct_together_sem_split,50,28,278,170,35,,0.3885,3,U+3735,㜵,(said of a woman) with a charming sprightly carriage; slim; delicate and beautiful,0.6072969433333334,"亠, 女, 馬"
characters,struct_together_sem_split,51,14,305,237,0,,0.223,1,U+354D,㕍,"(same as 堆) to heap up; to pile, a heap; a pile; a mass; a crowd",0.61424267,"厂, 隹"
characters,struct_together_sem_split,51,20,305,237,0,,0.223,2,U+355B,㕛,"(ancient form of 友) a friend; a companion; an associate, friendly, to make friends of, brotherly regard",0.61098504,又
characters,struct_together_sem_split,51,52,305,237,0,,0.223,3,U+355E,㕞,"(same as U+5237 刷) a brush, to brush; to clean; to scrub, to print, especially from blocks",0.52237159,又
characters,struct_together_sem_split,52,49,270,207,0,,0.2333,1,U+34C5,㓅,frozen; cold,0.6152332066666667,"一, 亅, 冫"
characters,struct_together_sem_split,52,20,270,207,0,,0.2333,2,U+35FF,㗿,"to laugh loudly, to blame; to reprimand, entrance to a cave or to a gorge",0.602066435,"一, 亅, 口, 門"
characters,struct_together_sem_split,52,47,270,207,0,,0.2333,3,U+3605,㘅,(same as U+929C 銜 U+5563 啣) to hold in the mouth,0.619377078,"一, 亅, 口, 彳, 金"
characters,struct_together_sem_split,53,20,309,231,0,,0.2524,1,U+3474,㑴,"(standard form of 侵) to usurp, to encroach upon, to raid",0.644913876,"人, 冖, 又, 巾, 彐"
characters,struct_together_sem_split,53,47,309,231,0,,0.2524,2,U+34BC,㒼,"average; equivalent; corresponding, to cover something carefully and tightly without a break; (Cant.) blocked",0.6245346350000001,"巾, 廾"
